locality_code,locality_name,locality_form,population,index_value,cluster,locality_norm
619.0,בית גוברין,330,436.0,0.885,7.0,בית גוברין
393.0,גלאון,330,378.0,0.927,7.0,גלאון
2046.0,סגולה,310,689.0,0.953,7.0,סגולה
564.0,רבדים,330,653.0,1.011,8.0,רבדים
315.0,נגבה,330,881.0,1.015,8.0,נגבה
293.0,שדה יואב,330,442.0,1.041,8.0,שדה יואב
274.0,כפר מנחם,330,1296.0,1.157,8.0,כפר מנחם
888.0,"כפר הרי""ף",310,852.0,1.671,9.0,כפר הרי ף
875.0,כפר עבודה,340,,,,כפר עבודה
767.0,פורת,310,1206.0,-0.223,4.0,פורת
170.0,כפר יעבץ,310,665.0,0.03,5.0,כפר יעבץ
837.0,עזריאל,310,859.0,0.404,6.0,עזריאל
2002.0,תנובות,310,829.0,0.666,7.0,תנובות
379.0,גאולים,310,896.0,0.846,7.0,גאולים
